filename,date,year,month,day,issue_number,url,local_path,status,size_bytes,error
kev_20180815_71.pdf,2018-08-15,2018,8,15,71,https://koszeg.hu/pictures/koszeg/kev/kev_20180815_71.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180815_71.pdf,downloaded,8679332,
kev_20180917_72.pdf,2018-09-17,2018,9,17,72,https://koszeg.hu/pictures/koszeg/kev/kev_20180917_72.pdf,koszeg_es_videke_archive\pdf\2018\kev_20180917_72.pdf,downloaded,8559639,
kev_20181015_73.pdf,2018-10-15,2018,10,15,73,https://koszeg.hu/pictures/koszeg/kev/kev_20181015_73.pdf,koszeg_es_videke_archive\pdf\2018\kev_20181015_73.pdf,downloaded,10201233,
kev_20181115_74.pdf,2018-11-15,2018,11,15,74,https://koszeg.hu/pictures/koszeg/kev/kev_20181115_74.pdf,koszeg_es_videke_archive\pdf\2018\kev_20181115_74.pdf,downloaded,10972235,
kev_20181213_75.pdf,2018-12-13,2018,12,13,75,https://koszeg.hu/pictures/koszeg/kev/kev_20181213_75.pdf,koszeg_es_videke_archive\pdf\2018\kev_20181213_75.pdf,downloaded,9298717,
kev_20190123_76.pdf,2019-01-23,2019,1,23,76,https://koszeg.hu/pictures/koszeg/kev/kev_20190123_76.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190123_76.pdf,downloaded,8551482,
kev_20190220_77.pdf,2019-02-20,2019,2,20,77,https://koszeg.hu/pictures/koszeg/kev/kev_20190220_77.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190220_77.pdf,downloaded,9883176,
kev_20190320_78.pdf,2019-03-20,2019,3,20,78,https://koszeg.hu/pictures/koszeg/kev/kev_20190320_78.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190320_78.pdf,downloaded,9274643,
kev_20190417_79.pdf,2019-04-17,2019,4,17,79,https://koszeg.hu/pictures/koszeg/kev/kev_20190417_79.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190417_79.pdf,downloaded,9091434,
kev_20190515_80.pdf,2019-05-15,2019,5,15,80,https://koszeg.hu/pictures/koszeg/kev/kev_20190515_80.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190515_80.pdf,downloaded,9520002,
kev_20190621_81.pdf,2019-06-21,2019,6,21,81,https://koszeg.hu/pictures/koszeg/kev/kev_20190621_81.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190621_81.pdf,downloaded,8760649,
kev_20190718_82.pdf,2019-07-18,2019,7,18,82,https://koszeg.hu/pictures/koszeg/kev/kev_20190718_82.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190718_82.pdf,downloaded,10690529,
kev_20190814_83.pdf,2019-08-14,2019,8,14,83,https://koszeg.hu/pictures/koszeg/kev/kev_20190814_83.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190814_83.pdf,downloaded,10380392,
kev_20190918_84.pdf,2019-09-18,2019,9,18,84,https://koszeg.hu/pictures/koszeg/kev/kev_20190918_84.pdf,koszeg_es_videke_archive\pdf\2019\kev_20190918_84.pdf,downloaded,10412343,
kev_20191016_85.pdf,2019-10-16,2019,10,16,85,https://koszeg.hu/pictures/koszeg/kev/kev_20191016_85.pdf,koszeg_es_videke_archive\pdf\2019\kev_20191016_85.pdf,downloaded,8710533,
kev_20191120_86.pdf,2019-11-20,2019,11,20,86,https://koszeg.hu/pictures/koszeg/kev/kev_20191120_86.pdf,koszeg_es_videke_archive\pdf\2019\kev_20191120_86.pdf,downloaded,7481474,
kev_20191218_87.pdf,2019-12-18,2019,12,18,87,https://koszeg.hu/pictures/koszeg/kev/kev_20191218_87.pdf,koszeg_es_videke_archive\pdf\2019\kev_20191218_87.pdf,downloaded,9147287,
kev_20200122_88.pdf,2020-01-22,2020,1,22,88,https://koszeg.hu/pictures/koszeg/kev/kev_20200122_88.pdf,koszeg_es_videke_archive\pdf\2020\kev_20200122_88.pdf,downloaded,8497428,
kev_20200220_89.pdf,2020-02-20,2020,2,20,89,https://koszeg.hu/pictures/koszeg/kev/kev_20200220_89.pdf,koszeg_es_videke_archive\pdf\2020\kev_20200220_89.pdf,downloaded,7901488,
kev_20200318_90.pdf,2020-03-18,2020,3,18,90,https://koszeg.hu/pictures/koszeg/kev/kev_20200318_90.pdf,koszeg_es_videke_archive\pdf\2020\kev_20200318_90.pdf,downloaded,7661966,
kev_20200423_91.pdf,2020-04-23,2020,4,23,91,https://koszeg.hu/pictures/koszeg/kev/kev_20200423_91.pdf,koszeg_es_videke_archive\pdf\2020\kev_20200423_91.pdf,downloaded,5095912,
kev_20200521_92.pdf,2020-05-21,2020,5,21,92,https://koszeg.hu/pictures/koszeg/kev/kev_20200521_92.pdf,koszeg_es_videke_archive\pdf\2020\kev_20200521_92.pdf,downloaded,3908507,
